Timestamp,Rating,Feedback
10:25:00,5,This is an extraordinary product! Really loved it!
11:11:56,4,A good one
12:25:00,5,The onboarding of the application was really helpful. Thanks for the feature development!
05:30:56,1,The main support ticket was not considered at all. We are totally upset with this!
16:25:00,2,Expected a lot of improvements! Hope you do it next time.
18:01:45,5,The overall design is so cool! Congrats!
03:14:05,5,We really love this new set of features :) Keep rocking!
14:11:22,2,Not bad
15:55:00,3,"We partially liked the new features. We loved the onboarding, but there are few bugs that are still not considered. Hope you'll consider those."
08:30:26,5,Customer's happiness is what keeps the company going up. We are so happy with your developments! Keep rocking team!!!
17:24:30,5,The video and customized onboarding is a great feature. We enjoyed working with your product. Thanks for considering our request.
04:35:26,4,Good one. We expect a lot from the development team in the upcoming months :)
10:25:00,2,I don't think we are going to use the drop down within the profile page. It would be helpful if you remove those.
01:11:56,1,I do not give rating bigger than this. Our requests were not at all considered in this release of your product. Worst!
